,Label,tweet,Tokenization,Stop_Removal,Tweet_Stemmed
65,Negatif,pasti mereka akan bilang utang ini sebagai warisan dari pendahulunya tetapi seluruh jalan toll indonesia baru mulai dibangun pada periode pertama lanjut periode kedua dan agar tuntas perlu tambahan satu periode lagi periode,"['pasti', 'mereka', 'akan', 'bilang', 'utang', 'ini', 'sebagai', 'warisan', 'dari', 'pendahulunya', 'tetapi', 'seluruh', 'jalan', 'toll', 'indonesia', 'baru', 'mulai', 'dibangun', 'pada', 'periode', 'pertama', 'lanjut', 'periode', 'kedua', 'dan', 'agar', 'tuntas', 'perlu', 'tambahan', 'satu', 'periode', 'lagi', 'periode']","['bilang', 'utang', 'warisan', 'pendahulunya', 'jalan', 'toll', 'indonesia', 'dibangun', 'periode', 'periode', 'tuntas', 'tambahan', 'periode', 'periode']","['bilang', 'utang', 'waris', 'dahulu', 'jalan', 'toll', 'indonesia', 'bangun', 'periode', 'periode', 'tuntas', 'tambah', 'periode', 'periode']"
66,Positif,saya biasanya bersebrangan dengan bung ardian napitupulu dalam banyak hal tapi dalam hal ini saya setuju dgn dia periode,"['saya', 'biasanya', 'bersebrangan', 'dengan', 'bung', 'ardian', 'napitupulu', 'dalam', 'banyak', 'hal', 'tapi', 'dalam', 'hal', 'ini', 'saya', 'setuju', 'dgn', 'dia', 'periode']","['bersebrangan', 'ardian', 'napitupulu', 'setuju', 'dgn', 'periode']","['bersebrangan', 'ardi', 'napitupulu', 'tuju', 'dgn', 'periode']"
67,Positif,aliansi mahasiswa indonesia menuntut presiden joko widodo mengeluarkan pernyataan secara resmi menolak penundaan pemilu dan perpanjangan masa jabatan presiden paling lambat hari ini april periode,"['aliansi', 'mahasiswa', 'indonesia', 'menuntut', 'presiden', 'joko', 'widodo', 'mengeluarkan', 'pernyataan', 'secara', 'resmi', 'menolak', 'penundaan', 'pemilu', 'dan', 'perpanjangan', 'masa', 'jabatan', 'presiden', 'paling', 'lambat', 'hari', 'ini', 'april', 'periode']","['aliansi', 'mahasiswa', 'indonesia', 'menuntut', 'presiden', 'joko', 'widodo', 'mengeluarkan', 'pernyataan', 'resmi', 'menolak', 'penundaan', 'pemilu', 'perpanjangan', 'jabatan', 'presiden', 'lambat', 'april', 'periode']","['aliansi', 'mahasiswa', 'indonesia', 'tuntut', 'presiden', 'joko', 'widodo', 'keluar', 'nyata', 'resmi', 'tolak', 'tunda', 'milu', 'panjang', 'jabat', 'presiden', 'lambat', 'april', 'periode']"
68,Netral,,[''],[''],['']
69,Negatif,setuju bahwa demokrasi itu bukan hanya maunya dia apalagi sampai ngarang ngarang untuk melanggengkan kekuasaan periode,"['setuju', 'bahwa', 'demokrasi', 'itu', 'bukan', 'hanya', 'maunya', 'dia', 'apalagi', 'sampai', 'ngarang', 'ngarang', 'untuk', 'melanggengkan', 'kekuasaan', 'periode']","['setuju', 'demokrasi', 'maunya', 'ngarang', 'ngarang', 'melanggengkan', 'kekuasaan', 'periode']","['tuju', 'demokrasi', 'mau', 'ngarang', 'ngarang', 'langgeng', 'kuasa', 'periode']"
70,Negatif,makin kesni kok makin aneh naik bbm nya didemo priode udh ntar aja fokus bbm aja minyak mahal ngantri panjang yaa malah demo priode mungkin priode udahhh bbm dlu,"['makin', 'kesni', 'kok', 'makin', 'aneh', 'naik', 'bbm', 'nya', 'didemo', 'priode', 'udh', 'ntar', 'aja', 'fokus', 'bbm', 'aja', 'minyak', 'mahal', 'ngantri', 'panjang', 'yaa', 'malah', 'demo', 'priode', 'mungkin', 'priode', 'udahhh', 'bbm', 'dlu']","['kesni', 'aneh', 'bbm', 'nya', 'didemo', 'priode', 'udh', 'ntar', 'aja', 'fokus', 'bbm', 'aja', 'minyak', 'mahal', 'ngantri', 'yaa', 'demo', 'priode', 'priode', 'udahhh', 'bbm', 'dlu']","['kesni', 'aneh', 'bbm', 'nya', 'demo', 'priode', 'udh', 'ntar', 'aja', 'fokus', 'bbm', 'aja', 'minyak', 'mahal', 'ngantri', 'yaa', 'demo', 'priode', 'priode', 'udahhh', 'bbm', 'dlu']"
71,Netral,bem sudah mulai bangun apakabar bem nus dan cipyung plus periode,"['bem', 'sudah', 'mulai', 'bangun', 'apakabar', 'bem', 'nus', 'dan', 'cipyung', 'plus', 'periode']","['bem', 'bangun', 'apakabar', 'bem', 'nus', 'cipyung', 'plus', 'periode']","['bem', 'bangun', 'apakabar', 'bem', 'nus', 'cipyung', 'plus', 'periode']"
72,Negatif,maka kita wajib periode periode,"['maka', 'kita', 'wajib', 'periode', 'periode']","['wajib', 'periode', 'periode']","['wajib', 'periode', 'periode']"
73,Netral,periode,['periode'],['periode'],['periode']
74,Negatif,mau bela siapa kek peduli tapi ingetin aja siapapun apapun keputusan bagaimana mengambil sikap semua ada pertanggungjawabannya ingat ada dharma dan karma periode,"['mau', 'bela', 'siapa', 'kek', 'peduli', 'tapi', 'ingetin', 'aja', 'siapapun', 'apapun', 'keputusan', 'bagaimana', 'mengambil', 'sikap', 'semua', 'ada', 'pertanggungjawabannya', 'ingat', 'ada', 'dharma', 'dan', 'karma', 'periode']","['bela', 'kek', 'peduli', 'ingetin', 'aja', 'apapun', 'keputusan', 'mengambil', 'sikap', 'pertanggungjawabannya', 'dharma', 'karma', 'periode']","['bela', 'kek', 'peduli', 'ingetin', 'aja', 'apa', 'putus', 'ambil', 'sikap', 'pertanggungjawabannya', 'dharma', 'karma', 'periode']"
75,Netral,pi,['pi'],['pi'],['pi']
76,Negatif,kalau partai kompak jokowi pasri setuju periode pkb ingat rakyat adalah pemilik sah bangsa ini jangan anda kira milik ketua umum parpol yang mendukung penundaan pemilu,"['kalau', 'partai', 'kompak', 'jokowi', 'pasri', 'setuju', 'periode', 'pkb', 'ingat', 'rakyat', 'adalah', 'pemilik', 'sah', 'bangsa', 'ini', 'jangan', 'anda', 'kira', 'milik', 'ketua', 'umum', 'parpol', 'yang', 'mendukung', 'penundaan', 'pemilu']","['partai', 'kompak', 'jokowi', 'pasri', 'setuju', 'periode', 'pkb', 'rakyat', 'pemilik', 'sah', 'bangsa', 'milik', 'ketua', 'parpol', 'mendukung', 'penundaan', 'pemilu']","['partai', 'kompak', 'jokowi', 'pasri', 'tuju', 'periode', 'pkb', 'rakyat', 'milik', 'sah', 'bangsa', 'milik', 'ketua', 'parpol', 'dukung', 'tunda', 'milu']"
77,Negatif,kalau partai kompak jokowi pasri setuju periode pkb ingat rakyat adalah pemilik sah bangsa ini jangan anda kira milik ketua umum parpol yang mendukung penundaan pemilu,"['kalau', 'partai', 'kompak', 'jokowi', 'pasri', 'setuju', 'periode', 'pkb', 'ingat', 'rakyat', 'adalah', 'pemilik', 'sah', 'bangsa', 'ini', 'jangan', 'anda', 'kira', 'milik', 'ketua', 'umum', 'parpol', 'yang', 'mendukung', 'penundaan', 'pemilu']","['partai', 'kompak', 'jokowi', 'pasri', 'setuju', 'periode', 'pkb', 'rakyat', 'pemilik', 'sah', 'bangsa', 'milik', 'ketua', 'parpol', 'mendukung', 'penundaan', 'pemilu']","['partai', 'kompak', 'jokowi', 'pasri', 'tuju', 'periode', 'pkb', 'rakyat', 'milik', 'sah', 'bangsa', 'milik', 'ketua', 'parpol', 'dukung', 'tunda', 'milu']"
78,Negatif,dull isblut  kurus r kalau partai kompak jokowi pasri setuju periode ingat rakyat adalah pemilik sah bangsa ini jangan anda kira milik ketua umum parpol yang mendukung penundaan pemilu,"['dull', 'isblut', 'kurus', 'r', 'kalau', 'partai', 'kompak', 'jokowi', 'pasri', 'setuju', 'periode', 'ingat', 'rakyat', 'adalah', 'pemilik', 'sah', 'bangsa', 'ini', 'jangan', 'anda', 'kira', 'milik', 'ketua', 'umum', 'parpol', 'yang', 'mendukung', 'penundaan', 'pemilu']","['dull', 'isblut', 'kurus', 'r', 'partai', 'kompak', 'jokowi', 'pasri', 'setuju', 'periode', 'rakyat', 'pemilik', 'sah', 'bangsa', 'milik', 'ketua', 'parpol', 'mendukung', 'penundaan', 'pemilu']","['dull', 'isblut', 'kurus', 'r', 'partai', 'kompak', 'jokowi', 'pasri', 'tuju', 'periode', 'rakyat', 'milik', 'sah', 'bangsa', 'milik', 'ketua', 'parpol', 'dukung', 'tunda', 'milu']"
79,Positif,idn qassham rm kayo hajar sridianava dpd siap jadi palang pintu bila sidang mpr membahas perpanjangan masa jabatan presiden periode jelas dan tegas seluruh anggota dpd akan menolak dan tentunya sidang tsb tidak sah periode,"['idn', 'qassham', 'rm', 'kayo', 'hajar', 'sridianava', 'dpd', 'siap', 'jadi', 'palang', 'pintu', 'bila', 'sidang', 'mpr', 'membahas', 'perpanjangan', 'masa', 'jabatan', 'presiden', 'periode', 'jelas', 'dan', 'tegas', 'seluruh', 'anggota', 'dpd', 'akan', 'menolak', 'dan', 'tentunya', 'sidang', 'tsb', 'tidak', 'sah', 'periode']","['idn', 'qassham', 'rm', 'kayo', 'hajar', 'sridianava', 'dpd', 'palang', 'pintu', 'sidang', 'mpr', 'membahas', 'perpanjangan', 'jabatan', 'presiden', 'periode', 'anggota', 'dpd', 'menolak', 'sidang', 'tsb', 'sah', 'periode']","['idn', 'qassham', 'rm', 'kayo', 'hajar', 'sridianava', 'dpd', 'palang', 'pintu', 'sidang', 'mpr', 'bahas', 'panjang', 'jabat', 'presiden', 'periode', 'anggota', 'dpd', 'tolak', 'sidang', 'tsb', 'sah', 'periode']"
80,Positif,dpd siap jadi palang pintu bila sidang mpr membahas perpanjangan masa jabatan presiden periode jelas dan tegas seluruh anggota dpd akan menolak dan tentunya sidang tsb tidak sah periode,"['dpd', 'siap', 'jadi', 'palang', 'pintu', 'bila', 'sidang', 'mpr', 'membahas', 'perpanjangan', 'masa', 'jabatan', 'presiden', 'periode', 'jelas', 'dan', 'tegas', 'seluruh', 'anggota', 'dpd', 'akan', 'menolak', 'dan', 'tentunya', 'sidang', 'tsb', 'tidak', 'sah', 'periode']","['dpd', 'palang', 'pintu', 'sidang', 'mpr', 'membahas', 'perpanjangan', 'jabatan', 'presiden', 'periode', 'anggota', 'dpd', 'menolak', 'sidang', 'tsb', 'sah', 'periode']","['dpd', 'palang', 'pintu', 'sidang', 'mpr', 'bahas', 'panjang', 'jabat', 'presiden', 'periode', 'anggota', 'dpd', 'tolak', 'sidang', 'tsb', 'sah', 'periode']"
81,Positif,dpd siap jadi palang pintu bila sidang mpr membahas perpanjangan masa jabatan presiden periode jelas dan tegas seluruh anggota dpd akan menolak dan tentunya sidang tsb tidak sah periode,"['dpd', 'siap', 'jadi', 'palang', 'pintu', 'bila', 'sidang', 'mpr', 'membahas', 'perpanjangan', 'masa', 'jabatan', 'presiden', 'periode', 'jelas', 'dan', 'tegas', 'seluruh', 'anggota', 'dpd', 'akan', 'menolak', 'dan', 'tentunya', 'sidang', 'tsb', 'tidak', 'sah', 'periode']","['dpd', 'palang', 'pintu', 'sidang', 'mpr', 'membahas', 'perpanjangan', 'jabatan', 'presiden', 'periode', 'anggota', 'dpd', 'menolak', 'sidang', 'tsb', 'sah', 'periode']","['dpd', 'palang', 'pintu', 'sidang', 'mpr', 'bahas', 'panjang', 'jabat', 'presiden', 'periode', 'anggota', 'dpd', 'tolak', 'sidang', 'tsb', 'sah', 'periode']"
82,Positif,bila sidang mpr membahas perpanjangan masa jabatan presiden periode jelas dan tegas seluruh anggota dpd akan menolak dan tentunya sidang tidak sah silalahi tofatofa,"['bila', 'sidang', 'mpr', 'membahas', 'perpanjangan', 'masa', 'jabatan', 'presiden', 'periode', 'jelas', 'dan', 'tegas', 'seluruh', 'anggota', 'dpd', 'akan', 'menolak', 'dan', 'tentunya', 'sidang', 'tidak', 'sah', 'silalahi', 'tofatofa']","['sidang', 'mpr', 'membahas', 'perpanjangan', 'jabatan', 'presiden', 'periode', 'anggota', 'dpd', 'menolak', 'sidang', 'sah', 'silalahi', 'tofatofa']","['sidang', 'mpr', 'bahas', 'panjang', 'jabat', 'presiden', 'periode', 'anggota', 'dpd', 'tolak', 'sidang', 'sah', 'silalahi', 'tofatofa']"
83,Positif,bila sidang mpr membahas perpanjangan masa jabatan presiden periode jelas dan tegas seluruh anggota dpd akan menolak dan tentunya sidang tsb tidak sah vaduka lbs didu ak,"['bila', 'sidang', 'mpr', 'membahas', 'perpanjangan', 'masa', 'jabatan', 'presiden', 'periode', 'jelas', 'dan', 'tegas', 'seluruh', 'anggota', 'dpd', 'akan', 'menolak', 'dan', 'tentunya', 'sidang', 'tsb', 'tidak', 'sah', 'vaduka', 'lbs', 'didu', 'ak']","['sidang', 'mpr', 'membahas', 'perpanjangan', 'jabatan', 'presiden', 'periode', 'anggota', 'dpd', 'menolak', 'sidang', 'tsb', 'sah', 'vaduka', 'lbs', 'didu', 'ak']","['sidang', 'mpr', 'bahas', 'panjang', 'jabat', 'presiden', 'periode', 'anggota', 'dpd', 'tolak', 'sidang', 'tsb', 'sah', 'vaduka', 'lbs', 'didu', 'ak']"
84,Positif,kalau partai kompak jokowi pasti setuju periode ingat rakyat adalah pemilik sah bangsa ini jangan anda kira milik ketua umum parpol yang mendukung penundaan pemilu pkb,"['kalau', 'partai', 'kompak', 'jokowi', 'pasti', 'setuju', 'periode', 'ingat', 'rakyat', 'adalah', 'pemilik', 'sah', 'bangsa', 'ini', 'jangan', 'anda', 'kira', 'milik', 'ketua', 'umum', 'parpol', 'yang', 'mendukung', 'penundaan', 'pemilu', 'pkb']","['partai', 'kompak', 'jokowi', 'setuju', 'periode', 'rakyat', 'pemilik', 'sah', 'bangsa', 'milik', 'ketua', 'parpol', 'mendukung', 'penundaan', 'pemilu', 'pkb']","['partai', 'kompak', 'jokowi', 'tuju', 'periode', 'rakyat', 'milik', 'sah', 'bangsa', 'milik', 'ketua', 'parpol', 'dukung', 'tunda', 'milu', 'pkb']"
85,Positif,kalau partai kompak jokowi pasri setuju periode pkb ingat rakyat adalah pemilik sah bangsa ini jangan anda kira milik ketua umum parpol yang mendukung penundaan pemilu,"['kalau', 'partai', 'kompak', 'jokowi', 'pasri', 'setuju', 'periode', 'pkb', 'ingat', 'rakyat', 'adalah', 'pemilik', 'sah', 'bangsa', 'ini', 'jangan', 'anda', 'kira', 'milik', 'ketua', 'umum', 'parpol', 'yang', 'mendukung', 'penundaan', 'pemilu']","['partai', 'kompak', 'jokowi', 'pasri', 'setuju', 'periode', 'pkb', 'rakyat', 'pemilik', 'sah', 'bangsa', 'milik', 'ketua', 'parpol', 'mendukung', 'penundaan', 'pemilu']","['partai', 'kompak', 'jokowi', 'pasri', 'tuju', 'periode', 'pkb', 'rakyat', 'milik', 'sah', 'bangsa', 'milik', 'ketua', 'parpol', 'dukung', 'tunda', 'milu']"
86,Netral,periode,['periode'],['periode'],['periode']
87,Positif,temu kangen dengan aktivis senior mudrick setiawan ketua dpd bahas situasi kebangsaan periode,"['temu', 'kangen', 'dengan', 'aktivis', 'senior', 'mudrick', 'setiawan', 'ketua', 'dpd', 'bahas', 'situasi', 'kebangsaan', 'periode']","['temu', 'kangen', 'aktivis', 'senior', 'mudrick', 'setiawan', 'ketua', 'dpd', 'bahas', 'situasi', 'kebangsaan', 'periode']","['temu', 'kangen', 'aktivis', 'senior', 'mudrick', 'setiawan', 'ketua', 'dpd', 'bahas', 'situasi', 'bangsa', 'periode']"
88,Netral,,[''],[''],['']
89,Netral,periode periode,"['periode', 'periode']","['periode', 'periode']","['periode', 'periode']"
90,Netral,banturetweet saudaraku terima kasih gantian periode lihat video dibo piss media,"['banturetweet', 'saudaraku', 'terima', 'kasih', 'gantian', 'periode', 'lihat', 'video', 'dibo', 'piss', 'media']","['banturetweet', 'saudaraku', 'terima', 'kasih', 'gantian', 'periode', 'lihat', 'video', 'dibo', 'piss', 'media']","['banturetweet', 'saudara', 'terima', 'kasih', 'ganti', 'periode', 'lihat', 'video', 'dibo', 'piss', 'media']"
91,Netral,banturetweet saudaraku terima kasih gantian periode lihat video dibo piss media,"['banturetweet', 'saudaraku', 'terima', 'kasih', 'gantian', 'periode', 'lihat', 'video', 'dibo', 'piss', 'media']","['banturetweet', 'saudaraku', 'terima', 'kasih', 'gantian', 'periode', 'lihat', 'video', 'dibo', 'piss', 'media']","['banturetweet', 'saudara', 'terima', 'kasih', 'ganti', 'periode', 'lihat', 'video', 'dibo', 'piss', 'media']"
92,Negatif,mahasiswa sedang apa apa yang mereka tuntut apakah sama dengan yang rakyat mau periode gantian,"['mahasiswa', 'sedang', 'apa', 'apa', 'yang', 'mereka', 'tuntut', 'apakah', 'sama', 'dengan', 'yang', 'rakyat', 'mau', 'periode', 'gantian']","['mahasiswa', 'tuntut', 'rakyat', 'periode', 'gantian']","['mahasiswa', 'tuntut', 'rakyat', 'periode', 'ganti']"
93,Negatif,ayo gerudug dpr tolak presden periode penundaan pemilu adalah akal akalan penguasa yang ingin melanggengkan oligarki periode periode,"['ayo', 'gerudug', 'dpr', 'tolak', 'presden', 'periode', 'penundaan', 'pemilu', 'adalah', 'akal', 'akalan', 'penguasa', 'yang', 'ingin', 'melanggengkan', 'oligarki', 'periode', 'periode']","['ayo', 'gerudug', 'dpr', 'tolak', 'presden', 'periode', 'penundaan', 'pemilu', 'akal', 'akalan', 'penguasa', 'melanggengkan', 'oligarki', 'periode', 'periode']","['ayo', 'gerudug', 'dpr', 'tolak', 'presden', 'periode', 'tunda', 'milu', 'akal', 'akal', 'kuasa', 'langgeng', 'oligarki', 'periode', 'periode']"
94,Netral,didu hayang ngarawu siku,"['didu', 'hayang', 'ngarawu', 'siku']","['didu', 'hayang', 'ngarawu', 'siku']","['didu', 'hayang', 'ngarawu', 'siku']"
95,Netral,banturetweet saudaraku terima kasih gantian periode lihat video dibo piss media,"['banturetweet', 'saudaraku', 'terima', 'kasih', 'gantian', 'periode', 'lihat', 'video', 'dibo', 'piss', 'media']","['banturetweet', 'saudaraku', 'terima', 'kasih', 'gantian', 'periode', 'lihat', 'video', 'dibo', 'piss', 'media']","['banturetweet', 'saudara', 'terima', 'kasih', 'ganti', 'periode', 'lihat', 'video', 'dibo', 'piss', 'media']"
96,Netral,saudaraku terima kasih gantian periode lihat video dibo piss media,"['saudaraku', 'terima', 'kasih', 'gantian', 'periode', 'lihat', 'video', 'dibo', 'piss', 'media']","['saudaraku', 'terima', 'kasih', 'gantian', 'periode', 'lihat', 'video', 'dibo', 'piss', 'media']","['saudara', 'terima', 'kasih', 'ganti', 'periode', 'lihat', 'video', 'dibo', 'piss', 'media']"
97,Netral,untuk simak periode,"['untuk', 'simak', 'periode']","['simak', 'periode']","['simak', 'periode']"
98,Positif,meskipun demikian kecenderungan ketidaksukaan terhadap deklarasi jokowi periode cenderung naik ada bibit perlawanan yang tumbuh karena berkembangnya pandangan pelanggaran konstitusi untuk menunda pemilu  periode,"['meskipun', 'demikian', 'kecenderungan', 'ketidaksukaan', 'terhadap', 'deklarasi', 'jokowi', 'periode', 'cenderung', 'naik', 'ada', 'bibit', 'perlawanan', 'yang', 'tumbuh', 'karena', 'berkembangnya', 'pandangan', 'pelanggaran', 'konstitusi', 'untuk', 'menunda', 'pemilu', 'periode']","['kecenderungan', 'ketidaksukaan', 'deklarasi', 'jokowi', 'periode', 'cenderung', 'bibit', 'perlawanan', 'tumbuh', 'berkembangnya', 'pandangan', 'pelanggaran', 'konstitusi', 'menunda', 'pemilu', 'periode']","['cenderung', 'ketidaksukaan', 'deklarasi', 'jokowi', 'periode', 'cenderung', 'bibit', 'lawan', 'tumbuh', 'kembang', 'pandang', 'langgar', 'konstitusi', 'tunda', 'milu', 'periode']"
99,Netral,saudaraku terima kasih gantian periode lihat video dibo piss media,"['saudaraku', 'terima', 'kasih', 'gantian', 'periode', 'lihat', 'video', 'dibo', 'piss', 'media']","['saudaraku', 'terima', 'kasih', 'gantian', 'periode', 'lihat', 'video', 'dibo', 'piss', 'media']","['saudara', 'terima', 'kasih', 'ganti', 'periode', 'lihat', 'video', 'dibo', 'piss', 'media']"
100,Netral,masterpice official,"['masterpice', 'official']","['masterpice', 'official']","['masterpice', 'official']"
101,Negatif,salam perjuangan jgn kendor dan jgn mau amplopin serta jgn gentar walaupun ancam periode,"['salam', 'perjuangan', 'jgn', 'kendor', 'dan', 'jgn', 'mau', 'amplopin', 'serta', 'jgn', 'gentar', 'walaupun', 'ancam', 'periode']","['salam', 'perjuangan', 'jgn', 'kendor', 'jgn', 'amplopin', 'jgn', 'gentar', 'ancam', 'periode']","['salam', 'juang', 'jgn', 'kendor', 'jgn', 'amplopin', 'jgn', 'gentar', 'ancam', 'periode']"
102,Positif,fenomena langka adian napitupulu semprot ngabalin gitu dong sesekali mikirin rakyat kali ini aku yess ama adian periode,"['fenomena', 'langka', 'adian', 'napitupulu', 'semprot', 'ngabalin', 'gitu', 'dong', 'sesekali', 'mikirin', 'rakyat', 'kali', 'ini', 'aku', 'yess', 'ama', 'adian', 'periode']","['fenomena', 'langka', 'adian', 'napitupulu', 'semprot', 'ngabalin', 'gitu', 'mikirin', 'rakyat', 'kali', 'yess', 'ama', 'adian', 'periode']","['fenomena', 'langka', 'adi', 'napitupulu', 'semprot', 'ngabalin', 'gitu', 'mikirin', 'rakyat', 'kali', 'yess', 'ama', 'adi', 'periode']"
103,Positif,tetap waspada ancaman komunis selalu ada sejarah itu harus diceritakan prof salim haji said periode,"['tetap', 'waspada', 'ancaman', 'komunis', 'selalu', 'ada', 'sejarah', 'itu', 'harus', 'diceritakan', 'prof', 'salim', 'haji', 'said', 'periode']","['waspada', 'ancaman', 'komunis', 'sejarah', 'diceritakan', 'prof', 'salim', 'haji', 'said', 'periode']","['waspada', 'ancam', 'komunis', 'sejarah', 'cerita', 'prof', 'salim', 'haji', 'said', 'periode']"
104,Netral,pernyataan aksi demo jumat april  jakarta periode,"['pernyataan', 'aksi', 'demo', 'jumat', 'april', 'jakarta', 'periode']","['pernyataan', 'aksi', 'demo', 'jumat', 'april', 'jakarta', 'periode']","['nyata', 'aksi', 'demo', 'jumat', 'april', 'jakarta', 'periode']"
105,Netral,aksi demo jumat april  jakarta periode thread bem live report,"['aksi', 'demo', 'jumat', 'april', 'jakarta', 'periode', 'thread', 'bem', 'live', 'report']","['aksi', 'demo', 'jumat', 'april', 'jakarta', 'periode', 'thread', 'bem', 'live', 'report']","['aksi', 'demo', 'jumat', 'april', 'jakarta', 'periode', 'thread', 'bem', 'live', 'report']"
106,Positif,lebaran kebeli baju baru gpp asal pemilu dipercepat lanjutkeun,"['lebaran', 'kebeli', 'baju', 'baru', 'gpp', 'asal', 'pemilu', 'dipercepat', 'lanjutkeun']","['lebaran', 'kebeli', 'baju', 'gpp', 'pemilu', 'dipercepat', 'lanjutkeun']","['lebaran', 'kebel', 'baju', 'gpp', 'milu', 'cepat', 'lanjutkeun']"
107,Netral,jumat april  jakarta aksi demo periode,"['jumat', 'april', 'jakarta', 'aksi', 'demo', 'periode']","['jumat', 'april', 'jakarta', 'aksi', 'demo', 'periode']","['jumat', 'april', 'jakarta', 'aksi', 'demo', 'periode']"
108,Netral,jumat april  aksi demo jakarta periode,"['jumat', 'april', 'aksi', 'demo', 'jakarta', 'periode']","['jumat', 'april', 'aksi', 'demo', 'jakarta', 'periode']","['jumat', 'april', 'aksi', 'demo', 'jakarta', 'periode']"
109,Netral,kemarin jumat april  kembali dimotori oleh bem amp bem trisakti aksi demo periode,"['kemarin', 'jumat', 'april', 'kembali', 'dimotori', 'oleh', 'bem', 'amp', 'bem', 'trisakti', 'aksi', 'demo', 'periode']","['kemarin', 'jumat', 'april', 'dimotori', 'bem', 'amp', 'bem', 'trisakti', 'aksi', 'demo', 'periode']","['kemarin', 'jumat', 'april', 'motor', 'bem', 'amp', 'bem', 'trisakti', 'aksi', 'demo', 'periode']"
110,Negatif,n pantesan getol banget mempertahankan periode takut masuk penjara rupanya periode,"['n', 'pantesan', 'getol', 'banget', 'mempertahankan', 'periode', 'takut', 'masuk', 'penjara', 'rupanya', 'periode']","['n', 'pantesan', 'getol', 'banget', 'mempertahankan', 'periode', 'takut', 'masuk', 'penjara', 'periode']","['n', 'pantesan', 'getol', 'banget', 'tahan', 'periode', 'takut', 'masuk', 'penjara', 'periode']"
111,Netral,mau shaum sabtu atau ahad tdk jadi masalah penting anda shaum dan jangan lupa agenda periode periode,"['mau', 'shaum', 'sabtu', 'atau', 'ahad', 'tdk', 'jadi', 'masalah', 'penting', 'anda', 'shaum', 'dan', 'jangan', 'lupa', 'agenda', 'periode', 'periode']","['shaum', 'sabtu', 'ahad', 'tdk', 'shaum', 'lupa', 'agenda', 'periode', 'periode']","['shaum', 'sabtu', 'ahad', 'tdk', 'shaum', 'lupa', 'agenda', 'periode', 'periode']"
112,Netral,periode,['periode'],['periode'],['periode']
113,Negatif,ngurus hal receh ora gableg ngotot mau berkuasa periode,"['ngurus', 'hal', 'receh', 'ora', 'gableg', 'ngotot', 'mau', 'berkuasa', 'periode']","['ngurus', 'receh', 'ora', 'gableg', 'ngotot', 'berkuasa', 'periode']","['ngurus', 'receh', 'ora', 'gableg', 'ngotot', 'kuasa', 'periode']"
114,Netral,periode,['periode'],['periode'],['periode']
